33;User Story;Criação do projeto de testes de unidade para o UX;14/06/2019 12:28:49;UX\Iteration 1;Resolved;14/06/2019 13:33:27
34;User Story;595655 - ;14/06/2019 12:33:47;UX\Iteration 1;Backlog;14/06/2019 12:33:47
34;User Story;595655 - Erro ao associar contratos e equipamentos;14/06/2019 12:33:47;UX\Iteration 1;To do;14/06/2019 12:36:35
34;Bug;595655 - Erro ao associar contratos e equipamentos;14/06/2019 12:33:47;UX\Iteration 1;Development;14/06/2019 16:46:52
34;Bug;595655 - Erro ao associar contratos e equipamentos;14/06/2019 12:33:47;UX\Iteration 1;To do;14/06/2019 16:48:31
34;Bug;595655 - Erro ao associar contratos e equipamentos;14/06/2019 12:33:47;UX\Iteration 1;Development;14/06/2019 18:06:37
34;Bug;595655 - Erro ao associar contratos e equipamentos;14/06/2019 12:33:47;UX\Iteration 1;To do;19/06/2019 14:00:42
34;Bug;595655 - Erro ao associar contratos e equipamentos;14/06/2019 12:33:47;UX\Iteration 1;Development;19/06/2019 14:35:41
34;Bug;595655 - Erro ao associar contratos e equipamentos;14/06/2019 12:33:47;UX\Iteration 1;Resolved;25/06/2019 18:05:27
34;Bug;595655 - Erro ao associar contratos e equipamentos;14/06/2019 12:33:47;UX\Iteration 1;Closed;26/06/2019 11:57:39
38;User Story;Migração do código SimpressUX.Core para o Azure Devops com Git;14/06/2019 13:13:28;UX\Iteration 1;Backlog;14/06/2019 13:13:28
38;User Story;Migração do código SimpressUX.Core para o Azure Devops com Git;14/06/2019 13:13:28;UX\Iteration 1;To do;14/06/2019 13:13:37
38;User Story;Migração do código SimpressUX.Core para o Azure Devops com Git;14/06/2019 13:13:28;UX\Iteration 1;Development;14/06/2019 13:13:41
38;User Story;Migração do código SimpressUX.Core para o Azure Devops com Git;14/06/2019 13:13:28;UX\Iteration 1;Test;14/06/2019 13:30:07
38;User Story;Migração do código SimpressUX.Core para o Azure Devops com Git;14/06/2019 13:13:28;UX\Iteration 1;Resolved;14/06/2019 13:30:13
39;User Story;Criação da esteira de Build no AzureDevops para o SimpressUX.Core;14/06/2019 13:26:25;UX\Iteration 1;Backlog;14/06/2019 13:26:25
39;User Story;Criação da esteira de Build no AzureDevops para o SimpressUX.Core;14/06/2019 13:26:25;UX\Iteration 1;To do;14/06/2019 13:27:03
39;User Story;Criação da esteira de Build no AzureDevops para o SimpressUX.Core;14/06/2019 13:26:25;UX\Iteration 1;Development;14/06/2019 13:27:07
39;User Story;Criação da esteira de Build no AzureDevops para o SimpressUX.Core;14/06/2019 13:26:25;UX\Iteration 1;Test;14/06/2019 13:30:51
39;User Story;Criação da esteira de Build no AzureDevops para o SimpressUX.Core;14/06/2019 13:26:25;UX\Iteration 1;Development;14/06/2019 13:30:56
39;User Story;Criação da esteira de Build no AzureDevops para o SimpressUX.Core;14/06/2019 13:26:25;UX\Iteration 1;Test;14/06/2019 13:31:09
39;User Story;Criação da esteira de Build no AzureDevops para o SimpressUX.Core;14/06/2019 13:26:25;UX\Iteration 1;Development;14/06/2019 13:31:14
39;User Story;Criação da esteira de Build no AzureDevops para o SimpressUX.Core;14/06/2019 13:26:25;UX\Iteration 1;Test;14/06/2019 13:31:28
39;User Story;Criação da esteira de Build no AzureDevops para o SimpressUX.Core;14/06/2019 13:26:25;UX\Iteration 1;Resolved;14/06/2019 13:31:33
40;User Story;Melhorias Retirada de Equipamentos;14/06/2019 13:46:03;UX\Iteration 1;Backlog;14/06/2019 13:46:03
45;User Story;DRA - Devolução de Equipamentos com Leitura do SN;14/06/2019 13:52:36;UX\Iteration 1;Backlog;14/06/2019 13:52:36
46;User Story;DRA - Cronograma de Retiradas (acompanhar via SMS);14/06/2019 13:52:55;UX\Iteration 1;Backlog;14/06/2019 13:52:55
47;User Story;Cliente Solicitar Prioridade na coleta "Botão Emergencial";14/06/2019 13:53:18;UX\Iteration 1;Backlog;14/06/2019 13:53:18
48;User Story;DRA - Processo de Transferência de Equipamentos;14/06/2019 13:54:36;UX\Iteration 1;Backlog;14/06/2019 13:54:36
49;User Story;DRA - Permitir que o cliente ou delegado possa anexar arquivos dentro da movimentação (CRM do processo ou aprovações);14/06/2019 13:55:06;UX\Iteration 1;Backlog;14/06/2019 13:55:06
54;User Story;Revisão do Primeiro Acesso;14/06/2019 19:45:19;UX\Iteration 1;Backlog;14/06/2019 19:45:19
54;User Story;Revisão do Primeiro Acesso;14/06/2019 19:45:19;UX\Iteration 1;To do;17/06/2019 13:34:57
54;User Story;Revisão do Primeiro Acesso;14/06/2019 19:45:19;UX\Iteration 1;Backlog;18/06/2019 18:55:01
56;Bug;sdf;17/06/2019 18:58:41;UX\Iteration 1;Backlog;17/06/2019 18:58:41
56;Bug;595788 - Erro usuário SIMPRESS;17/06/2019 18:58:41;UX\Iteration 1;Development;17/06/2019 18:59:29
56;Bug;595788 - Erro usuário SIMPRESS;17/06/2019 18:58:41;UX\Iteration 1;Closed;19/06/2019 16:49:29
57;Bug;595970;18/06/2019 18:40:01;UX\Iteration 1;Backlog;18/06/2019 18:40:01
57;Bug;595970 - ERRO NA APROVAÇÃO DE TONER SOL 2019;18/06/2019 18:40:01;UX\Iteration 1;To do;18/06/2019 18:41:01
57;Bug;595970 - ERRO NA APROVAÇÃO DE TONER SOL 2019;18/06/2019 18:40:01;UX\Iteration 1;Development;19/06/2019 14:21:35
57;Bug;595970 - ERRO NA APROVAÇÃO DE TONER SOL 2019;18/06/2019 18:40:01;UX\Iteration 1;Resolved;19/06/2019 14:35:06
57;Bug;595970 - ERRO NA APROVAÇÃO DE TONER SOL 2019;18/06/2019 18:40:01;UX\Iteration 1;Closed;24/06/2019 15:09:34
58;Bug;595939;18/06/2019 18:40:30;UX\Iteration 1;Backlog;18/06/2019 18:40:30
58;Bug;595939 - Erro ao realizar aprovação Workflow GC;18/06/2019 18:40:30;UX\Iteration 1;To do;18/06/2019 18:40:57
58;Bug;595939 - Erro ao realizar aprovação Workflow GC;18/06/2019 18:40:30;UX\Iteration 1;Development;19/06/2019 14:00:44
58;Bug;595939 - Erro ao realizar aprovação Workflow GC;18/06/2019 18:40:30;UX\Iteration 1;Resolved;19/06/2019 14:21:31
58;Bug;595939 - Erro ao realizar aprovação Workflow GC;18/06/2019 18:40:30;UX\Iteration 1;Closed;24/06/2019 15:09:32
60;User Story;SonarQube no UX;19/06/2019 19:06:33;UX\Iteration 1;Backlog;19/06/2019 19:06:33
60;User Story;SonarQube na build de CI ;19/06/2019 19:06:33;UX\Iteration 1;To do;19/06/2019 19:07:03
60;User Story;SonarQube na build de CI ;19/06/2019 19:06:33;UX\Iteration 1;Development;19/06/2019 19:07:07
60;User Story;SonarQube na build de CI ;19/06/2019 19:06:33;UX\Iteration 1;Closed;27/06/2019 20:24:58
61;Epic;Consumíveis;19/06/2019 20:27:53;UX;New;19/06/2019 20:27:53
63;Feature;Excedente Consumíveis;19/06/2019 20:35:06;UX\Iteration 1;New;19/06/2019 20:35:06
64;User Story;Pró-ativo de consumíveis;19/06/2019 20:39:25;UX;Backlog;19/06/2019 20:39:25
65;User Story;Pró-ativo de consumíveis;19/06/2019 20:39:55;UX;Backlog;19/06/2019 20:39:55
66;Feature;Trocas antecipadas de consumíveis;19/06/2019 21:10:27;UX;New;19/06/2019 21:10:27
68;Feature;Falta de abastecimento de consumíveis;19/06/2019 21:11:45;UX;New;19/06/2019 21:11:45
69;User Story;Histórico de recebimento REATIVO de consumíveis;19/06/2019 21:23:58;UX\Iteration 1;Backlog;19/06/2019 21:23:58
70;User Story;Troca ANTECIPADA de consumíveis;19/06/2019 21:26:32;UX\Iteration 1;Backlog;19/06/2019 21:26:32
71;User Story;Trocas CORRETAS de consumíveis;19/06/2019 21:26:48;UX\Iteration 1;Backlog;19/06/2019 21:26:48
72;User Story;PROJEÇÃO de ABASTECIMENTO de consumíveis;19/06/2019 21:36:15;UX\Iteration 1;Backlog;19/06/2019 21:36:15
72;User Story;PROJEÇÃO de ABASTECIMENTO de consumíveis;19/06/2019 21:36:15;UX;To do;01/07/2019 17:55:35
72;User Story;PROJEÇÃO de ABASTECIMENTO de consumíveis;19/06/2019 21:36:15;UX\Iteration 1;Development;02/07/2019 11:50:00
73;Feature;PRÓ-ATIVO de consumíveis;19/06/2019 21:38:44;UX\Iteration 1;New;19/06/2019 21:38:44
74;Feature;REATIVO de consumíveis;19/06/2019 21:40:11;UX\Iteration 1;New;19/06/2019 21:40:11
75;Feature;TROCAS CORRETAS de consumíveis;19/06/2019 21:46:15;UX\Iteration 1;New;19/06/2019 21:46:15
76;Feature;TROCAS ANTECIPADAS de consumíveis;19/06/2019 21:46:25;UX\Iteration 1;New;19/06/2019 21:46:25
77;Feature;PROJEÇÃO de abastecimento;19/06/2019 21:49:25;UX\Iteration 1;New;19/06/2019 21:49:25
78;User Story;PESQUISA HISTÓRICO de ENVIO PRÓ-ATIVO;24/06/2019 13:31:11;UX\Iteration 1;Backlog;24/06/2019 13:31:11
79;User Story;FILTROS de PRÓ-ATIVO de consumíveis;24/06/2019 14:33:14;UX\Iteration 1;Backlog;24/06/2019 14:33:14
80;User Story;PESQUISA HISTÓRICO POR PERÍODO ESPECÍFICO de ENVIO REATIVO;24/06/2019 16:39:40;UX\Iteration 1;Backlog;24/06/2019 16:39:40
